_id,NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
14,1000000014,海神南小学校,カイジンミナミショウガッコウ,千葉県船橋市海神町南1-1510,"",35.701119,139.968966,"",047−433−2177,"",122041,千葉県,船橋市,,1,,1,,1,1,1,1,"2,977人","","",""
15,1000000015,海神南小学校（校舎屋上）,カイジンミナミショウガッコウ（コウシャオクジョウ）,千葉県船橋市神町南1-1510,"",35.701119,139.968966,"",047−433−2177,"",122041,千葉県,船橋市,,,,,1,,,,,478人,"","",""
16,1000000016,葛飾小学校,カツシカショウガッコウ,千葉県船橋市印内1-2-1,"",35.712392,139.959696,"",047−431−2722,"",122041,千葉県,船橋市,1,1,1,1,1,1,,1,1,"3,563人","","",""
17,1000000017,小栗原小学校,オグリハラショウガッコウ,千葉県船橋市本中山3-16-12,"",35.71217,139.944032,"",047−334−4733,"",122041,千葉県,船橋市,,1,,1,,1,,1,1,"3,276人","","",""
18,1000000018,小栗原小学校（校舎屋上）,オグリハラショウガッコウ（コウシャオクジョウ）,千葉県船橋市本中山3-16-12,"",35.71217,139.944032,"",047−334−4733,"",122041,千葉県,船橋市,,,,,1,,,,,"1,015人","","",""
19,1000000019,八栄小学校,ヤサカエショウガッコウ,千葉県船橋市夏見5-27-1,"",35.711752,139.992811,"",047−422−8285,"",122041,千葉県,船橋市,1,1,1,1,,1,1,1,1,"2,831人","","",""
20,1000000020,夏見台小学校,ナツミダイショウガッコウ,千葉県船橋市夏見台2-12-1,"",35.722005,139.994302,"",047−438−2000,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"3,948人","","",""
21,1000000021,高根小学校,タカネショウガッコウ,千葉県船橋市高根町2895,"",35.726778,140.009532,"",047−438−2237,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"2,166人","","",""
22,1000000022,高根東小学校,タカネヒガシショウガッコウ,千葉県船橋市新高根1-17-1,"",35.725127,140.021537,"",047−464−2345,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"7,235人","","",""
23,1000000023,金杉小学校,カナスギショウガッコウ,千葉県船橋市金杉8-10-1,"",35.732039,140.01576,"",047−448−3201,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"3,147人","","",""
24,1000000024,三咲小学校,ミサキショウガッコウ,千葉県船橋市二和東5-39-1,"",35.753622,140.023485,"",047−447−2010,"",122041,千葉県,船橋市,1,1,1,1,1,1,,1,1,"4,683人","","",""
25,1000000025,二和小学校,フタワショウガッコウ,千葉県船橋市二和東1-9-11,"",35.740699,140.021215,"",047−448−3401,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"3,312人","","",""
26,1000000026,八木が谷小学校,ヤギガヤショウガッコウ,千葉県船橋市八木が谷2-3-1,"",35.758897,140.031204,"",047−447−6728,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"3,640人","","",""
27,1000000027,八木が谷北小学校,ヤギガヤキタショウガッコウ,千葉県船橋市八木が谷4-13-1,"",35.76342,140.035785,"",047−447−2465,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"3,500人","","",""
28,1000000028,咲が丘小学校,サキガオカショウガッコウ,千葉県船橋市咲が丘1-22-1,"",35.759607,140.018308,"",047−448−5512,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"2,718人","","",""
29,1000000029,金杉台小学校,カナスギダイショウガッコウ,千葉県船橋市金杉台2-1-7,"",35.737137,140.013711,"",047−448−3876,"",122041,千葉県,船橋市,,1,1,1,1,1,,1,1,"3,705人","","",""
30,1000000030,法典小学校,ホウデンショウガッコウ,千葉県船橋市藤原5-2-1,"",35.736606,139.980451,"",047−439−0832,"",122041,千葉県,船橋市,1,1,1,1,1,1,,1,1,"4,016人","","",""
31,1000000031,丸山小学校,マルヤマショウガッコウ,千葉県船橋市丸山4-43-1,"",35.75013,139.996936,"",047−439−2123,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"3,115人","","",""
32,1000000032,法典東小学校,ホウデンヒガシショウガッコウ,千葉県船橋市丸山5-25-1,"",35.74565,139.99523,"",047−438−1929,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"4,180人","","",""
33,1000000033,法典西小学校,ホウデンニシショウガッコウ,千葉県船橋市上山町1-111-5,"",35.727117,139.970908,"",047−337−7982,"",122041,千葉県,船橋市,1,1,1,1,1,1,,1,1,"3,563人","","",""
34,1000000034,塚田小学校,ツカダショウガッコウ,千葉県船橋市前貝塚町600,"",35.723899,139.979057,"",047−438−8900,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"3,454人","","",""
35,1000000035,塚田南小学校,ツカダミナミショウガッコウ,千葉県船橋市行田1-50-1,"",35.718059,139.980339,"",047−406−6601,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"5,542人","","",""
36,1000000036,行田東小学校,ギョウダヒガシショウガッコウ,千葉県船橋市行田2-4-1,"",35.717558,139.974304,"",047−439−2119,"",122041,千葉県,船橋市,1,1,1,1,1,1,,1,1,"3,882人","","",""
37,1000000037,行田西小学校,ギョウダニシショウガッコウ,千葉県船橋市行田3-4-1,"",35.7193866,139.9686672,"",047−439−2120,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"4,510人","","",""
38,1000000038,前原小学校,マエハラショウガッコウ,千葉県船橋市前原西2-28-1,"",35.695696,140.024531,"",047−472−2156,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"2,520人","","",""
39,1000000039,中野木小学校,ナカノキショウガッコウ,千葉県船橋市中野木2-19-1,"",35.70172,140.020132,"",047−475−5222,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"3,042人","","",""
40,1000000040,二宮小学校,ニノミヤショウガッコウ,千葉県船橋市前原東5-9-3,"",35.703197,140.032137,"",047−477−4567,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"3,868人","","",""
41,1000000041,飯山満小学校,ハサマショウガッコウ,千葉県船橋市飯山満町3-1394-3,"",35.710802,140.030163,"",047−465−5255,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"5,040人","","",""
42,1000000042,飯山満南小学校,ハサマミナミショウガッコウ,千葉県船橋市飯山満町1-954-4,"",35.710053,140.015781,"",047−463−1412,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"3,836人","","",""
43,1000000043,芝山東小学校,シバヤマヒガシショウガッコウ,千葉県船橋市芝山3-19-1,"",35.71687,140.02459,"",047−464−3423,"",122041,千葉県,船橋市,,1,1,1,1,1,,1,1,"4,298人","","",""
44,1000000044,芝山西小学校,シバヤマニシショウガッコウ,千葉県船橋市芝山2-4-1,"",35.719135,140.016243,"",047−462−3115,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"5,120人","","",""
45,1000000045,七林小学校,ナナバヤシショウガッコウ,千葉県船橋市七林町115-13,"",35.716107,140.03991,"",047−466−3118,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"3,589人","","",""
46,1000000046,薬円台小学校,ヤクエンダイショウガッコウ,千葉県船橋市薬円台4-5-1,"",35.71281,140.044765,"",047−466−4135,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"6,301人","","",""
47,1000000047,薬円台南小学校,ヤクエンダイミナミショウガッコウ,千葉県船橋市薬円台2-18-1,"",35.70791,140.046503,"",047−464−6091,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"3,669人","","",""
48,1000000048,田喜野井小学校,タキノイショウガッコウ,千葉県船橋市田喜野井4-33-1,"",35.701515,140.043092,"",047−464−4441,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"4,674人","","",""
49,1000000049,三山小学校,ミヤマショウガッコウ,千葉県船橋市三山2-42-1,"",35.695647,140.05072,"",047−479−1313,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"4,576人","","",""
50,1000000050,三山東小学校,ミヤマヒガシショウガッコウ,千葉県船橋市三山6-32-1,"",35.700195,140.05676,"",047−478−5533,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"2,788人","","",""
51,1000000051,高根台第二小学校,タカネダイダイニショウガッコウ,千葉県船橋市高根台5-2-1,"",35.729352,140.04115,"",047−465−1551,"",122041,千葉県,船橋市,1,1,1,1,1,1,,1,1,"3,940人","","",""
52,1000000052,高根台第三小学校,タカネダイダイサンショウガッコウ,千葉県船橋市高根台1-4-1,"",35.730232,140.031987,"",047−464−1665,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"3,761人","","",""
53,1000000053,高郷小学校,タカサトショウガッコウ,千葉県船橋市西習志野1-47-1,"",35.721416,140.036053,"",047−465−5252,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"2,965人","","",""
54,1000000054,習志野台第一小学校,ナラシノダイダイイチショウガッコウ,千葉県船橋市習志野台2-51-1,"",35.724304,140.045645,"",047−466−1010,"",122041,千葉県,船橋市,1,1,1,1,1,1,,1,1,"2,950人","","",""
55,1000000055,習志野台第二小学校,ナラシノダイダイニショウガッコウ,千葉県船橋市習志野台5-43-1,"",35.719209,140.054099,"",047−465−2199,"",122041,千葉県,船橋市,1,1,1,1,1,1,,1,1,"4,819人","","",""
56,1000000056,古和釜小学校,コワガマショウガッコウ,千葉県船橋市松が丘3-42-1,"",35.735012,140.047029,"",047−465−6115,"",122041,千葉県,船橋市,1,1,1,1,1,1,,1,1,"3,776人","","",""
57,1000000057,坪井小学校,ツボイショウガッコウ,千葉県船橋市坪井町747-1,"",35.732321,140.057586,"",047−463−1416,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"3,246人","","",""
58,1000000058,大穴小学校,オオアナショウガッコウ,千葉県船橋市大穴南2-7-1,"",35.74083,140.035023,"",047−465−2531,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"4,585人","","",""
59,1000000059,大穴北小学校,オオアナキタショウガッコウ,千葉県船橋市大穴北1-7-1,"",35.74615,140.039229,"",047−457−6103,"",122041,千葉県,船橋市,1,1,1,1,1,1,,1,1,"4,104人","","",""
60,1000000060,豊富小学校,トヨトミショウガッコウ,千葉県船橋市豊富町1,"",35.761488,140.066577,"",047−457−1565,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"7,733人","","",""
61,1000000061,小室小学校,コムロショウガッコウ,千葉県船橋市小室町899,"",35.793441,140.073701,"",047−457−1265,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"9,484人","","",""
62,1000000062,船橋特別支援学校高根台校舎,フナバシトクベツシエンガッコウタカネダイコウシャ,千葉県船橋市高根台2-1-1,"",35.735074,140.029702,"",047−466−3631,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"3,180人","","",""
63,1000000063,船橋中学校,フナバシチュウガッコウ,千葉県船橋市夏見2-11-1,"",35.710075,139.988616,"",047−422−8121,"",122041,千葉県,船橋市,1,1,1,1,1,1,,1,1,"11,209人","","",""
64,1000000064,湊中学校,ミナトチュウガッコウ,千葉県船橋市日の出1-1-2,"",35.690201,139.980081,"",047−431−5986,"",122041,千葉県,船橋市,,1,,1,,1,,1,1,"7,332人","","",""
65,1000000065,湊中学校（校舎屋上）,ミナトチュウガッコウ（コウシャオクジョウ）,千葉県船橋市日の出1-1-2,"",35.690201,139.980081,"",047−431−5986,"",122041,千葉県,船橋市,,,,,1,,,,,"1,105人","","",""
66,1000000066,宮本中学校,ミヤモトチュウガッコウ,千葉県船橋市東船橋7-8-1,"",35.694872,140.001839,"",047−422−8127,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"7,880人","","",""
67,1000000067,若松中学校,ワカマツチュウガッコウ,千葉県船橋市若松3-2-3,"",35.677383,139.993374,"",047−431−1870,"",122041,千葉県,船橋市,,1,,1,,1,,1,1,"5,651人","","",""
68,1000000068,若松中学校（校舎屋上）,ワカマツチュウガッコウ（コウシャオクジョウ）,千葉県船橋市若松3-2-3,"",35.677383,139.993374,"",047−431−1870,"",122041,千葉県,船橋市,,,,,1,,,,,"1,519人","","",""
69,1000000069,海神中学校,カイジンチュウガッコウ,千葉県船橋市海神4-27-1,"",35.710715,139.97624,"",047−431−3074,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"7,628人","","",""
70,1000000070,葛飾中学校,カツシカチュウガッコウ,千葉県船橋市印内1-5-1,"",35.713769,139.961139,"",047−431−2692,"",122041,千葉県,船橋市,1,1,1,1,1,1,,1,1,"6,447人","","",""
71,1000000071,行田中学校,ギョウダチュウガッコウ,千葉県船橋市行田3-6-1,"",35.720559,139.970248,"",047−439−2118,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"5,074人","","",""
72,1000000072,法田中学校,ホウダチュウガッコウ,千葉県船橋市藤原7-46-1,"",35.74423,139.984019,"",047−438−3026,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"5,836人","","",""
73,1000000073,旭中学校,アサヒチュウガッコウ,千葉県船橋市旭町2-23-1,"",35.73567,139.987044,"",047−439−5710,"",122041,千葉県,船橋市,1,,1,1,1,1,,1,1,"4,543人","","",""
74,1000000074,御滝中学校,オタキチュウガッコウ,千葉県船橋市金杉6-5-1,"",35.738514,140.01819,"",047−448−3102,"",122041,千葉県,船橋市,1,1,1,1,1,1,,1,1,"7,920人","","",""
75,1000000075,高根中学校,タカネチュウガッコウ,千葉県船橋市新高根1-17-2,"",35.726739,140.023114,"",047−464−3811,"",122041,千葉県,船橋市,1,1,1,1,1,1,,1,1,"7,450人","","",""
76,1000000076,八木が谷中学校,ヤギガヤチュウガッコウ,千葉県船橋市八木が谷2-9-1,"",35.759424,140.034133,"",047−447−1455,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"6,626人","","",""
77,1000000077,市立船橋高等学校金杉台グラウンド,イチリツフナバシコウトウガッコウカナスギダイグラウンド,千葉県船橋市金杉台1-2-18,"",35.737865,140.010513,"",047−422−5516,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,,"5,010人","","",""
78,1000000078,前原中学校,マエハラチュウガッコウ,千葉県船橋市中野木2-33-1,"",35.704569,140.018249,"",047−478−6831,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"5,856人","","",""
79,1000000079,二宮中学校,ニノミヤチュウガッコウ,千葉県船橋市滝台1-2-1,"",35.704678,140.034407,"",047−466−2453,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"6,676人","","",""
80,1000000080,飯山満中学校,ハサマチュウガッコウ,千葉県船橋市飯山満町1-946-1,"",35.711604,140.017316,"",047−422−0088,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"5,528人","","",""
81,1000000081,芝山中学校,シバヤマチュウガッコウ,千葉県船橋市芝山1-40-11,"",35.716766,140.019338,"",047−464−3448,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"5,542人","","",""
82,1000000082,七林中学校,ナナバヤシチュウガッコウ,千葉県船橋市七林町130,"",35.716983,140.037341,"",047−464−7687,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"4,788人","","",""
83,1000000083,三田中学校,ミタチュウガッコウ,千葉県船橋市田喜野井2-24-1,"",35.699786,140.045672,"",047−477−0311,"",122041,千葉県,船橋市,1,1,1,1,1,1,,1,1,"5,156人","","",""
84,1000000084,三山中学校,ミヤマチュウガッコウ,千葉県船橋市三山6-26-1,"",35.701642,140.056186,"",047−479−3000,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"5,204人","","",""
85,1000000085,高根台中学校,タカネダイチュウガッコウ,千葉県船橋市高根台3-3-1,"",35.731616,140.042496,"",047−466−1710,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"4,262人","","",""
86,1000000086,習志野台中学校,ナラシノダイチュウガッコウ,千葉県船橋市習志野台6-23-1,"",35.722018,140.053735,"",047−466−1310,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"8,362人","","",""
87,1000000087,古和釜中学校,コワガマチュウガッコウ,千葉県船橋市松が丘3-69-1,"",35.737224,140.050317,"",047−464−2331,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"5,075人","","",""
88,1000000088,坪井中学校,ツボイチュウガッコウ,千葉県船橋市坪井東1-24-1,"",35.730035,140.055526,"",047−466−3104,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"5,134人","","",""
89,1000000089,大穴中学校,オオアナチュウガッコウ,千葉県船橋市大穴南3-19-2,"",35.74096,140.042936,"",047−462−3117,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"5,134人","","",""
90,1000000090,豊富中学校,トヨトミチュウガッコウ,千葉県船橋市豊富町12,"",35.762937,140.064361,"",047−457−2030,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"4,402人","","",""
91,1000000091,小室中学校,コムロチュウガッコウ,千葉県船橋市小室町898,"",35.794403,140.074425,"",047−457−1865,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"6,048人","","",""
92,1000000092,市立船橋高等学校,シリツフナバシコウトウガッコウ,千葉県船橋市市場4-5-1,"",35.702147,139.99942,"",047-422-5516,"",122041,千葉県,船橋市,1,1,1,1,1,1,,1,1,"6,066人","","",""
93,1000000093,県立船橋高等学校,ケンリツフナバシコウトウガッコウ,千葉県船橋市東船橋6-1-1,"",35.694532,140.003325,"",047-422-2188,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"12,251人","","",""
94,1000000094,県立薬園台高等学校,ケンリツヤクエンダイコウトウガッコウ,千葉県船橋市薬円台5-34-1,"",35.711547,140.045489,"",047-464-0011,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"6,870人","","",""
95,1000000095,県立船橋東高等学校,ケンリツフナバシヒガシコウトウガッコウ,千葉県船橋市芝山2-13-1,"",35.722432,140.01937,"",047-464-1212,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"12,299人","","",""
96,1000000096,県立船橋啓明高等学校,ケンリツフナバシケイメイコウトウガッコウ,千葉県船橋市旭町333,"",35.732209,139.984367,"",047-438-8428,"",122041,千葉県,船橋市,,1,1,1,1,1,,1,1,"10,841人","","",""
97,1000000097,県立船橋芝山高等学校,ケンリツフナバシシバヤマコウトウガッコウ,千葉県船橋市芝山7-39-1,"",35.718124,140.02923,"",047-463-5331,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"7,093人","","",""
98,1000000098,県立船橋二和高等学校,ケンリツフナバシフタワコウトウガッコウ,千葉県船橋市二和西1-3-1,"",35.745415,140.01193,"",047-447-4377,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"13,940人","","",""
99,1000000099,県立船橋古和釜高等学校,ケンリツフナバシコワガマコウトウガッコウ,千葉県船橋市古和釜町586,"",35.739907,140.054378,"",047-466-1141,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"8,874人","","",""
100,1000000100,県立船橋法典高等学校,ケンリツフナバシホウデンコウトウガッコウ,千葉県船橋市藤原4-1-1,"",35.742981,139.975285,"",047-438-0721,"",122041,千葉県,船橋市,1,1,1,1,1,1,,1,1,"9,520人","","",""
101,1000000101,県立船橋北高等学校,ケンリツフナバシキタコウトウガッコウ,千葉県船橋市神保町133-1,"",35.76208,140.045044,"",047-457-3115,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"11,517人","","",""
102,1000000102,東葉高等学校,トウヨウコウトウガッコウ,千葉県船橋市飯山満町2-665?1,"",35.710284,140.020196,"",047-463-2111,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"5,384人","","",""
103,1000000103,日本大学理工学部,ニホンダイガクリコウガクブ,千葉県船橋市習志野台7-24-1,"",35.723734,140.055108,"",047-469-5330,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"33,793人","","",""
104,1000000104,日本大学生産工学部,ニホンダイガクセイサンコウガクブ,千葉県船橋市習志野市泉町1-2-1,"",35.691595,140.050843,"",047-474-2201,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,,"7,383人","","",""
105,1000000105,東邦大学,トウホウダイガク,千葉県船橋市三山2-2-1,"",35.693151,140.04892,"",047-472-9199,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"9,891人","","",""
106,1000000106,総合体育館（船橋アリーナ）,ソウゴウタイイクカン（フナバシアリーナ）,千葉県船橋市習志野台7-5-1,"",35.729195,140.052731,"",047-461-5611,"",122041,千葉県,船橋市,1,1,1,1,1,1,,1,1,"10,501人","","",""
107,1000000107,天沼弁天池公園,アマヌマベンテンイケコウエン,千葉県船橋市本町7-16,"",35.7047,139.984464,"",047-436-2555,"",122041,千葉県,船橋市,,1,,1,1,1,,1,,"2,675人","","",""
108,1000000108,高根木戸近隣公園,タカネキドキンリンコウエン,千葉県船橋市高根台5-3-1,"",35.729887,140.044417,"",なし,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,,"8,210人","","",""
109,1000000109,西船近隣公園,ニシフナキンリンコウエン,千葉県船橋市西船1-25,"",35.705235,139.965189,"",047-436-2566,"",122041,千葉県,船橋市,,1,,1,,1,1,1,,"3,795人","","",""
110,1000000110,夏見台近隣公園,ナツミダイキンリンコウエン,千葉県船橋市夏見台2-13,"",35.719696,139.994654,"",047-438-4461,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,,"5,227人","","",""
111,1000000111,大穴近隣公園,オオアナキンリンコウエン,千葉県船橋市大穴南4-22,"",35.739816,140.03656,"",なし,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,,"17,458人","","",""
112,1000000112,御滝公園,オタキコウエン,千葉県船橋市金杉6-26,"",35.739654,140.02054,"",なし,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,,"4,310人","","",""
113,1000000113,薬円台公園,ヤクエンダイコウエン,千葉県船橋市薬円台4-25-19,"",35.712005,140.047485,"",なし,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,,"8,324人","","",""
114,1000000114,北習志野近隣公園,キタナラシノキンリンコウエン,千葉県船橋市習志野台3-4-1,"",35.721669,140.049159,"",なし,"",122041,千葉県,船橋市,1,1,1,1,1,1,,1,,"8,992人","","",""
115,1000000115,坪井近隣公園,ツボイキンリンコウエン,千葉県船橋市坪井町1371,"",35.7328007,140.0598189,"",047-436-2567,"",122041,千葉県,船橋市,1,1,1,1,1,1,,1,,"5,920人","","",""
116,1000000116,法典公園（グラスポ）,ホウデンコウエン（グラスポ）,千葉県船橋市藤原5-9-10,"",35.742572,139.977195,"",047-438-3500,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,,"17,257人","","",""
117,1000000117,県立行田公園,ケンリツギョウダコウエン,千葉県船橋市行田2-5-1,"",35.719479,139.972061,"",047-430-6229,"",122041,千葉県,船橋市,1,1,1,1,1,1,,1,,"21,059人","","",""
118,1000000118,運動公園,ウンドウコウエン,千葉県船橋市夏見台6-4-1,"",35.731012,139.99545,"",047-438-4461,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,,"44,997人","","",""
119,1000000119,県民の森,ケンミンノモリ,千葉県船橋市大神保町586-2,"",35.767214,140.058914,"",なし,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,,"69,824人","","",""
120,1000000120,地方卸売市場,チホウオロシウリイチバ,千葉県船橋市市場1-8-1,"",35.704055,139.994796,"",なし,"",122041,千葉県,船橋市,,1,,1,,1,,1,,"15,815人","","",""
121,1000000121,陸上自衛隊習志野演習場,リクジョウジエイタイナラシノエンシュウジョウ,千葉県船橋市習志野3-1,"",35.713974,140.0582,"",なし,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,,"482,883人","","",""
122,1000000122,中山競馬場,ナカヤマケイバジョウ,千葉県船橋市古作1-1-1,"",35.727512,139.959865,"",047-436-2910,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,,"307,083人","","",""
123,1000000123,船橋大神宮,フナバシダイジングウ,千葉県船橋市宮本5-2-1,"",35.69481,139.992215,"",047-424-2333,"",122041,千葉県,船橋市,1,1,,1,,1,1,1,,"4,514人","","",""
